BREWERY,STREET ADDRESS,CITY,STATE,ZIPCODE
3rd Turn Brewing,10408 Watterson Trail,Louisville,KY,40299
3rd Turn Oldham Gardens, 6300 Old Lagrange Rd,Crestwood,KY,40014
Abettor Brewing Company,301 W. Lexington Ave,Winchester,KY,40391
Against the Grain Brewery,401 E. Main Street,Louisville,KY,40202
Akasha Brewing Company,"909 E. Market Street, Ste 700",Louisville,KY,40206
Alexandria Brewing Company,"7926 Alexandria Pike, Ste 1",Alexandria,KY,41001
Apocalypse Brew Works,1612 Mellwood Avenue,Louisville,KY,40206
Alexander Bullitt's Brewery & BBQ,131 North 3rd Street,Bardstown,KY,40004
Bircus Brewing Company,322 Elm Street,Ludlow,KY,41016
Blue Stallion Brewing Company,610 West Third Street,Lexington,KY,40508
Blue Holler Brewing,1266 U.S. 31 W Bypass,Bowling Green,KY,42104
"Bluegrass Brewing Company, Arena",300 West Main Street,Louisville,KY,40202
"Bluegrass Brewing Company, 4th Street",654 South 4th Street,Louisville,KY,40202
Braxton Brewing Company,27 West 7th Street,Covington,KY,41011
Braxton Brewing Labs,95 Riviera Drive,Bellevue,KY,41073
Braxton Barrel House,"2501 Dixie Highway, US 42",Fort Mitchell,KY,41017
Broken Throne Brewing,121 Main Street,Pikeville,KY,41501
Country Boy Brewing,436 Chair Ave,Lexington,KY,40508
Country Boy Brewing -- Georgetown,108 Corporate Dr ,Georgetown,KY,40324
Cumberland Brews,1576 Bardstown Rd,Louisville,KY,40205
Darkness Brewing,224 Fairfield Avenue,Belleville,KY,41073
DO/LOVE/LIVE Brewing,1016 East Washington Street,Louisville,KY,40206
Dreaming Creek Brewery,109 East Irvine Street,Richmond,KY,40475
Dry Ground Brewing Company,3121 Broadway St,Paducah,KY,42001
Dueling Barrels Brewing & Distillery,745 Hambley Blvd,Pikeville,KY,41501
Ethereal Brewing,1224 Manchester Street,Lexington,KY,40504
Falls City Brewery,901 East Liberty Street,Louisville,KY,40204
False Idol Brewery,1025 Barret Avenue,Louisville,KY,40204
Flywheel Brewing,"218 S Mulberry Street, Ste 103",Elizabethtown,KY,42701
Fusion Brewing,1170 Manchester Street,Lexington,KY,40508
Goodwood Brewing Company - Louisville Taproom,636 E Main Street,Louisville,KY,40202
Goodwood Brewing Company - Jeffersonville Taproom,134 Spring Street,Jeffersonville,IN,47130
Goodwood Brewing Company - Frankfort Taproom,109 West Main Street,Frankfort,KY,40601
Gordon Biersch Brewery Restaurant - Louisville,400 S 4th Street,Louisville,KY,40202
Gravely Brewing,514 Baxter Avenue,Louisville,KY,40204
Great Flood Brewing Company,2120 Bardstown Road,Louisville,KY,40205
Gypsy Run Brewery,131 N. 4th Street,Danville,KY,40422
Henderson Brewing,737 2nd Street,Henderson,KY,42420
Hofbrauhause Newport,305 Park Avenue,Newport,KY,41071
Holsopple Brewing,"8023 Catherine Lane, Unit 105",Louisville,KY,40222
Hopcat - Louisville,1064 Bardstown Road,Louisville,KY,40204
Hopkinsville Brewing Company,102 E. 5th Street,Hopkinsville,KY,42240
Jarfly Brewing ,103 W. Mount Vernon Street,Somerset,KY,42501
Lemons Mill Brewery,166 Marimon Avenue,Harrodsburg,KY,40330
Lexington Brewing and Distilling Company,401 Cross Street,Lexington,KY,40508
Maiden City Brewing Company,123 E. Pike Street,Cynthiana,KY,41031
Mash Cult Brewing,6823 Burlington Pike,Florence,KY,41042
Maysville Brewing Company,8 West 2nd Street,Maysville,KY,41056
Mile Wide Beer Company,636 Barret Avenue,Louisville,KY,40204
Mirror Twin Brewing,725 National Avenue,Lexington,KY,40502
Monnik Beer Company,1036 E Burnett Avenue,Louisville,KY,40217
My Old Kentucky Foam Brewing Company,149 E Main Street,Georgetown,KY,40324
Old Louisville Brewery,625 W Magnolia Avenue,Louisville,KY,40208
"Old Louisville Brewery, The Barrel Room",622 Main Street,Shelbyville,KY,40065
Paducah Beer Werks,301 N 4th Street,Paducah,KY,42001
Pivot Brewing,1400 Delaware Avenue,Lexington,KY,40505
Rock House Brewing ,119 Luigart Court,Lexington,KY,40508
Rooster Brewing,609 Main Street,Paris,KY,40361
Sig Luscher Brewery,221 Mero Street,Frankfort,KY,40601
Tap on Main Brewing,601A North Main Street,Somerset,KY,42501
Versailles Brewing Company,"513 Marasilles Road, Suite 8",Versailles,KY,40383
West Sixth Brewing,501 West Sixth Street,Lexington,KY,40508
West Sixth Farm,4495 Shadrick Ferry Road,Frankfort,KY,40601
West Sixth Greenroom,109 West Main Street,Lexington,KY,40507
White Squirrel Brewery,871 Broadway Avenue,Bowling Green,KY,42101
Wooden Cask Brewing Company,629 York Street,Newport,KY,41071
Yancey's Gastropub & Brewery,128 South Public Square,Glasgow,KY,42141
